CURSAT ver 2.1 Edition #1   Date:         03-05-2020      Hour:       14:58:39
Input file:   incidence.txt
Accumulation pseudoreplicates' file:      accum_incidence_boot.txt
Dataset pseudoreplicates' file:           pseud_incidence_boot.txt
Number of columns (sampling events):       10 
Number of rows (species, OTUs, ojects,...):              12 
Number of repetitions:       100 
Seed number:  12348695

Bootstrap (resampling with replacement)

Bootstrap replicate	Sampling event	Accumulation per n. of events	
 78 	 3 	 11 	
 78 	 4 	 11 	
 78 	 5 	 11 	
 78 	 6 	 11 	
 78 	 7 	 12 	
 78 	 8 	 12 	
 78 	 9 	 12 	
 78 	 10 	 12 	
 79 	 1 	 3 	
 79 	 2 	 7 	
 79 	 3 	 7 	
 79 	 4 	 9 	
 79 	 5 	 9 	
 79 	 6 	 12 	
 79 	 7 	 12 	
 79 	 8 	 12 	
 79 	 9 	 12 	
 79 	 10 	 12 	
 80 	 1 	 3 	
 80 	 2 	 3 	
 80 	 3 	 9 	
 80 	 4 	 11 	
 80 	 5 	 12 	
 80 	 6 	 12 	
 80 	 7 	 12 	
 80 	 8 	 12 	
 80 	 9 	 12 	
 80 	 10 	 12 	
 81 	 1 	 7 	
 81 	 2 	 10 	
 81 	 3 	 11 	
 81 	 4 	 12 	
 81 	 5 	 12 	
 81 	 6 	 12 	
 81 	 7 	 12 	
 81 	 8 	 12 	
 81 	 9 	 12 	
 81 	 10 	 12 	
 82 	 1 	 5 	
 82 	 2 	 8 	
 82 	 3 	 8 	
 82 	 4 	 10 	
 82 	 5 	 10 	
 82 	 6 	 10 	
 82 	 7 	 10 	
 82 	 8 	 11 	
 82 	 9 	 12 	
 82 	 10 	 12 	
 83 	 1 	 4 	
 83 	 2 	 9 	
 83 	 3 	 12 	
 83 	 4 	 12 	
 83 	 5 	 12 	
 83 	 6 	 12 	
 83 	 7 	 12 	
 83 	 8 	 12 	
 83 	 9 	 12 	
 83 	 10 	 12 	
 84 	 1 	 4 	
 84 	 2 	 10 	
 84 	 3 	 12 	
 84 	 4 	 12 	
 84 	 5 	 12 	
 84 	 6 	 12 	
 84 	 7 	 12 	
 84 	 8 	 12 	
 84 	 9 	 12 	
 84 	 10 	 12 	
 85 	 1 	 6 	
 85 	 2 	 6 	
 85 	 3 	 8 	
 85 	 4 	 11 	
 85 	 5 	 12 	
 85 	 6 	 12 	
 85 	 7 	 12 	
 85 	 8 	 12 	
 85 	 9 	 12 	
 85 	 10 	 12 	
 86 	 1 	 3 	
 86 	 2 	 7 	
 86 	 3 	 9 	
 86 	 4 	 11 	
 86 	 5 	 11 	
 86 	 6 	 12 	
 86 	 7 	 12 	
 86 	 8 	 12 	
 86 	 9 	 12 	
 86 	 10 	 12 	
 87 	 1 	 7 	
 87 	 2 	 10 	
 87 	 3 	 12 	
 87 	 4 	 12 	
 87 	 5 	 12 	
 87 	 6 	 12 	
 87 	 7 	 12 	
 87 	 8 	 12 	
 87 	 9 	 12 	
 87 	 10 	 12 	
 88 	 1 	 6 	
 88 	 2 	 6 	
 88 	 3 	 6 	
 88 	 4 	 9 	
 88 	 5 	 9 	
 88 	 6 	 12 	
 88 	 7 	 12 	
 88 	 8 	 12 	
 88 	 9 	 12 	
 88 	 10 	 12 	
 89 	 1 	 4 	
 89 	 2 	 7 	
 89 	 3 	 7 	
 89 	 4 	 7 	
 89 	 5 	 11 	
 89 	 6 	 12 	
 89 	 7 	 12 	
 89 	 8 	 12 	
 89 	 9 	 12 	
 89 	 10 	 12 	
 90 	 1 	 4 	
 90 	 2 	 9 	
 90 	 3 	 11 	
 90 	 4 	 12 	
 90 	 5 	 12 	
 90 	 6 	 12 	
 90 	 7 	 12 	
 90 	 8 	 12 	
 90 	 9 	 12 	
 90 	 10 	 12 	
 91 	 1 	 5 	
 91 	 2 	 7 	
 91 	 3 	 7 	
 91 	 4 	 8 	
 91 	 5 	 8 	
 91 	 6 	 8 	
 91 	 7 	 10 	
 91 	 8 	 11 	
 91 	 9 	 11 	
 91 	 10 	 11 	
 92 	 1 	 6 	
 92 	 2 	 9 	
 92 	 3 	 10 	
 92 	 4 	 10 	
 92 	 5 	 11 	
 92 	 6 	 12 	
 92 	 7 	 12 	
 92 	 8 	 12 	
 92 	 9 	 12 	
 92 	 10 	 12 	
 93 	 1 	 7 	
 93 	 2 	 9 	
